0.24, 0.73, 0.02
0.24, 0.74, 0.03
0.24, 0.84, 0.03
0.24, 0.78, 0.02
0.23, 0.79, 0.02
0.24, 0.76, 0.03
0.24, 0.70, 0.02
0.23, 0.73, 0.02
0.24, 1.01, 0.02
0.24, 0.77, 0.02
0.24, 0.75, 0.02
0.23, 1.28, 0.02
0.24, 0.77, 0.02
0.23, 0.84, 0.02
0.24, 0.82, 0.05
1.28, 0.96, 0.13
1.26, 0.68, 0.17
1.19, 0.75, 0.03
1.20, 0.77, 0.03
1.20, 0.76, 0.02
1.20, 0.79, 0.02
1.20, 0.75, 0.03
1.21, 0.77, 0.02
1.21, 0.77, 0.02
1.19, 0.73, 0.23
1.20, 0.73, 0.04
1.19, 13.87, 22.70
0.28, 0.79, 14.42
0.22, 0.79, 0.06
0.22, 0.70, 0.04
0.25, 0.92, 0.02
0.24, 1.04, 0.03
0.25, 1.06, 0.02
0.25, 1.02, 0.02
0.25, 0.94, 0.02
0.25, 0.78, 0.04
0.26, 1.14, 0.02
0.25, 1.12, 0.02
0.25, 0.96, 0.03
0.25, 0.99, 0.03
0.24, 0.97, 0.02
0.24, 0.89, 0.03
0.25, 0.90, 0.04
0.17, 0.95, 0.02
0.18, 0.99, 0.03
0.18, 1.01, 0.03
4.70, 1.01, 0.02
4.70, 0.98, 0.02
4.70, 0.98, 0.02
9.70, 0.97, 0.03
9.70, 1.01, 0.06
9.70, 1.00, 0.03
9.70, 0.98, 0.04
9.71, 1.00, 0.06
9.70, 1.00, 0.04
9.69, 1.00, 0.06
9.71, 1.01, 0.05
9.71, 0.96, 0.03
9.70, 0.96, 0.04
9.70, 0.97, 0.04
0.21, 1.15, 0.02
0.21, 1.16, 0.02
0.20, 1.16, 0.02
0.20, 1.17, 0.02
0.12, 5.18, 0.04
0.13, 1.07, 0.02
0.13, 1.16, 0.02
0.12, 1.26, 0.01
0.13, 1.25, 0.02
0.13, 1.21, 0.02
0.14, 1.16, 0.02
8.25, 4.68, 1.05
8.22, 1.13, 0.20
8.22, 1.23, 0.07
8.21, 1.21, 0.05
8.22, 1.21, 0.02
8.22, 1.21, 0.02
8.22, 1.20, 0.02
8.22, 1.22, 0.02
8.22, 1.21, 0.02
8.22, 1.20, 0.02
8.22, 1.26, 0.10
11.77, 2.06, 0.14
11.78, 1.21, 3.92
11.78, 1.17, 0.14
11.74, 1.64, 2.69
11.76, 1.75, 2.89
11.77, 2.11, 6.47
11.89, 1.77, 0.93
11.79, 2.40, 1.83
0.24, 1.27, 0.02
0.24, 1.30, 0.02
0.24, 1.28, 0.02
0.24, 1.25, 0.03
0.24, 1.36, 0.03
2.89, 1.35, 0.03
2.90, 1.33, 0.18
2.91, 1.30, 0.27
2.90, 1.34, 0.08
2.90, 1.31, 0.02
2.89, 1.31, 0.03
2.89, 1.31, 0.04
2.90, 1.33, 0.06
2.90, 1.31, 0.03
2.90, 1.37, 0.09
2.90, 1.31, 0.04
13.05, 1.34, 0.02
13.05, 1.35, 0.03
13.08, 1.35, 0.11
13.10, 1.34, 0.02
13.20, 1.32, 0.06
13.18, 1.31, 0.03
13.18, 1.31, 0.02
0.18, 1.57, 0.06
0.18, 1.04, 0.05
0.16, 1.92, 0.31
0.17, 2.10, 0.47
0.19, 1.82, 0.04
0.22, 1.38, 0.04
0.20, 1.88, 0.21
